card_key,reason
Darkness Energy · DP 129,[Errno 2] No such file or directory: '/Users/elvis/Documents/pokemon-tcg/media/ptcg_6c275de8ec25266b_full.png'
Fighting Energy · BS 97,[Errno 2] No such file or directory: '/Users/elvis/Documents/pokemon-tcg/media/ptcg_b8b66d5e19a62388_full.png'
Fire Energy · BS 98,[Errno 2] No such file or directory: '/Users/elvis/Documents/pokemon-tcg/media/ptcg_d6fba96a1b312afb_full.png'
Grass Energy · BS 99,[Errno 2] No such file or directory: '/Users/elvis/Documents/pokemon-tcg/media/ptcg_989469254527ffba_full.png'
Lightning Energy · BS 100,[Errno 2] No such file or directory: '/Users/elvis/Documents/pokemon-tcg/media/ptcg_ce57b4be6e1ac647_full.png'
Mega Kangaskhan ex · MEP 025,[Errno 2] No such file or directory: '/Users/elvis/Documents/pokemon-tcg/media/ptcg_ef5b7bc8354e21a0_full.png'
Metal Energy · DP 130,[Errno 2] No such file or directory: '/Users/elvis/Documents/pokemon-tcg/media/ptcg_0c08a283e645a9f3_full.png'
Psychic Energy · BS 101,[Errno 2] No such file or directory: '/Users/elvis/Documents/pokemon-tcg/media/ptcg_742ce5c084d004c3_full.png'
Water Energy · BS 102,[Errno 2] No such file or directory: '/Users/elvis/Documents/pokemon-tcg/media/ptcg_ae825979ecac6c12_full.png'
